Planned Parenthood of the Great Northwest|910686012|Approved|2001 East Madison St.|Seattle|WA|98122-5397|Ken Barner|Mr.|(206) 328-7529|(206) 328-6810|www.ppgnw.org/|Human Services|To ensure that all people in our communities can make informed choices about reproductive and sexual health. Can provide advocate to preserve the fundamental right to reproductive self determination, offer high quality, cost effective clinical services, and provide educational services to foster understanding of human sexuality and promote responsible behavior.Planned Parenthood of Western Washington: Provides reproductive health care, Pap tests, STD treatment, contraceptives, surgical and medical abortions, emergency contraception, education and counseling in 17 clinics located in Western Washington.Planned Parenthood Of Idaho Inc: Planned Parenthood of Idaho is a non-profit family planning agency located in the Treasure Valley and Magic Valley. We provide quality health care services  and comprehensive sexuality education  to all people regardless of age, income, marital status, or sexual orientation. We are an advocate  for the freedom of individuals to choose how to live their lives. This freedom includes the right to decide freely and responsibly if, and when, to have a child. PPI helps ensure that children will be wanted and loved, that families will be strong and secure, and that choice rather than chance will guide the future of humanity.Planned Parenthood of the Great Northwest: Provides reproductive health care, Pap tests, STD treatment, contraceptives, surgical and medical abortions, emergency contraception, education and counseling in 17 clinics located in Western Washington.Planned Parenthood of the Great Northwest: To support the lifelong sexual health of women and men, and to foster a community where every child is a wanted child.
Gay Mens Health Crisis Inc|133130146|Approved|446 W 33rd Street|New York|NY|10001|Lindsay Hoffman|Director, Institutional Development|(212) 367-1450|(212) 367-1450|http://www.gmhc.org|Human Services|To provide compassionate care to New Yorkers with AIDS; educate to keep people healthy; advocate for fair and effective public policies.Aids Walk New York: To have the money raised in the Walk go directly to vital services to help people living with HIV or AIDS.Gay Mens Health Crisis Inc: To assist in funding research to cure the Aids epidemic.Gmhc Health Services, Inc.: To reduce the spread of HIV disease, help people with HIV maintain and improve their health and independence and keep the prevention, treatment and cure of HIV an urgent national and local priority.Aids Walk New York: To reduce the spread of HIV disease, help people with HIV maintain and improve their health and independence, and keep the prevention, treatment and cure of HIV an urgent national and local priority.Gay Mens Health Crisis Inc: Committed to national leadership in the fight against AIDS.  Our mission is to reduce the spread of HIV disease, help people with HIV maintain and improve their health and independence, and keep the prevention, treatment and cure of HIV, an urgent national and local priority.
Evergreen State College Foundation|910981488|Approved|2700 Evergreen Parkway NW|Olympia|WA|98505-0002|Mr. Michael Wood|Fiscal Specialist|(800) 781-7861|(360) 866-6977|www.evergreen.edu/user/homef.htm|Education|To assist, strengthen and further in every proper and useful way the purposes., work and services of the college, and to develop, enhance and utilize the ties of interest, concern and affections existing between the college and its alumni and friends throThe Evergreen State College Annual Fund: To support the college by developing strong community relations and securing financial support for the college.
Wilderness Society|530167933|Approved|1615 M. Street NW|Washington|DC|20036|Robin Taylor|Development Assistant|(202) 833-2300|(202) 429-3957|www.wilderness.org|Civic|Mission:  To secure the preservation of the American wilderness wherever found and for this purpose to make or to initiate or cause to be made scientific studies and investigations concerning wilderness areas, their  values and uses to the public and the best methods for their protection......
North Park University|361557840|Approved|3225 W. Foster Ave. Box 6|Chicago|IL|60625-4895|Megan Walker|Development Services Assistant|773-244-5755|773-244-4953|www.northpark.edu|Education|Established in 1891, the program includes Liberal Arts and General, Teacher Preparatory, and Professional.  THe highest degree offering is Doctorate.  1st quarter 1998.
University of Washington Foundation|943079432|Approved|Box 359504|Seattle|WA|98195-9505|Ms. Rachel Townsend|Matching Gift Coordinator|(206) 685-9416|(202) 685-2692|http://www.washington.edu/|Education|To support excellence in programs throughout the University of Washington.Univeristy of Washington Foundation: To spread equity and diversity by opening doors for girls and women through education and access to resources that will help them achieve personal, professional, and academic success.University of Washington Foundation Communications Discretionary Fund: Unrestricted support for the Department of Communication within the College of Arts and Sciences. Gifts to this fund are used at the discretion of the Chair and are directed where they are needed most.
University of Wisconsin Foundation|390743975|Approved|1848 University Avenue|Madison|WI|53726-4090|Ms. Sue Woods|Matching Gifts Coordinator|(608) 263-4545|(608) 263-0781|www.supportuw.org|Education|To understand the decisions of businesses and consumers as well as the implications and causes of contemporary economic issues by developing a systematic and thorough understanding of precisely how economic systems operate.
YWCA of Seattle- King - Snohomish County|910482890|Approved|1118 5th Ave|Seattle|WA|98101|Mrs. Norma Addis|Director of Donor and Information Services|(206) 490-4362|(206) 490-4385|http://www.ywcaworks.org|Human Services|Designed to help homeless families begin the process of rebuilding their lives.YWCA of Seattle: To advance the quality of life for women of all ages, races, and faiths, and their families.
Holy Ghost Preparatory School|231365959|Approved|2429 Bristol Pike|Bensalem|PA|19020|Mrs. Shannon Perkins|Annual Fund Manager|(215) 639-2102|(215) 639-4225|www.holyghostprep.org/index.php|Education Priv (K-12)|Dedicated to the quality education of college-bound young men.Holy Ghost Preparatory School: The school welcomes young men into a close and supportive circle of caring adults and fellow students and guides them as they grow morally, intellectually, and spiritually.
University of Notre Dame|350868188|Approved|1100 Grace Hall|Notre Dame|IN|46556|Ms. Patty Herrity|Matching Gifts Coordinator|(574) 631-8199|(219) 631-7428|www.nd.edu/|Education|A defining Catholicity that guides our search for truth and inspires students, faculty, and alumni to lead lives of faith, meaning, and service.University of Notre Dame: To create formative educational and service experiences in collaboration with diverse partners, calling us all to action for a more just and humane world.
Earthjustice|941730465|Approved|50 California Street|San Francisco|CA|94111|Ms. Allison Keller|Stewardship and Donor Relations Associate|(415) 217-2000|(415) 217-2040|www.earthjustice.org|Civic|Dedicated to protecting  the magnificent places, natural resources, and wildlife of this earth and to defending the right of all people to a healthy environment.Earth Justice Legal Defense Fund: To protect people and natural resources by enforcing and strengthening environment laws, to educate and involve the public in sustaining citizen enforced law.
World Wildlife Fund Inc|521693387|Approved|1250 24th Street Northwest|Washington|DC|20037|Ms. Carolina Ayala|Matching Gifts Coordinators|(202) 495-4333|(202) 331-8833|www.worldwildlife.org|Environment|To conserve nature.World Wildlife Fund Inc: To protect endangered species and their habitats. Now in its fifth decade, WWF works in more than 100 countries around the globe to conserve the diversity of life on earth. With nearly 1.2 million members in the U.S. and another 4 million worldwide, WWF is the world's largest privately financed conservation organization.World Wildlife Fund: To preserve the diversity and abundance of life on Earth and the health of ecological systems
Humane Society of the United States|530225390|Approved|2100 L Street N.W.|Washington|DC|20037|Mr. Jared Gonzales|Matching Gifts Coordinator|(202) 452-1100|301-721-6462|humanesociety.org|Civic|Dedicated to creating a world where our relationship with animals is guided by compassion. We seek a truly humane society in which animals are respected for their intrinsic value, and where the human-animal bond is strong.Humane Society Of The United States: To create a humane and sustainable world for all animals, including people, through education, advocacy, and the promotion of respect and compassion.Humane Society Of The United States: To create a humane and sustainable world for all animals, including people, through education, advocacy, and the promotion of respect and compassion.Humane Society Of The United States: Dedicated to creating a world where our relationship with animals is guided by compassion. We seek a truly humane society in which animals are respected for their intrinsic value, and where the human-animal bond is strong.The Hsus: Animal Protection and Welfare
United Way of King County|910565555|Approved|720 2nd Ave|Seattle|WA|98104-1702|Mr. Jon Fine|President And Ceo|(206) 461-3700|(206) 461-8435|www.uwkc.org|Human Services|To strengthen our communities by enhancing the ability of people to care for one another.United Way of King County: To strengthen our communities by enhancing the ability of people to care for one another.United Way of King County: To strengthen our communities by enhancing the ability of people to care for one another.United Way of King County: To strengthen our communities by enhancing the ability of people to care for one another.United Way of King County - Focus On Children: To strengthen our communities by enhancing the ability of people to care for one another.United Way of King County - Reducing Homelessness: To strengthen our communities by enhancing the ability of people to care for one another.United Way of King County-Youth Connection: To strengthen our communities by enhancing the ability of people to care for one another.
Phi Beta Kappa|530226282|Approved|1606 New Hampshire Avenue NW|Washington|DC|20009|Laura Hartnett|Coordinator of Administration|(202) 265-3808|(202) 986-1601|www.pbk.org|Education|The Nation's Oldest and Most Widely Known Academic Honor Society
Washington State University Foundation|911075542|Approved|P.O. Box 641927|Pullman|WA|99164-1927|Ms. Katherine Burnham|Matching Gifts Coordinator|(509) 335-1686|(509) 335-5903|http://www.wsufoundation.wsu.edu|Education|To enhance the intellectual,creative and practical abilities of individuals.Washington State University Foundation: The Mission of the Washington State University Foundation isto promote, accept, and maximize private support for programs, initiatives, and properties of Washington State University and its regional campuses.Washington State University Athletic Foundation: To provide a meaningful experience, through educational and capital support, for all of Washington State University's student-athletes in competition, the classroom, and the community; to identify, recruit, cultivate, and steward alumni and friends so that the foundation of support for the Athletic Department continues to expand.Washington State University Cougar Athletic Fund: To conduct transformational research  and provides world-class education  to more than 26,000 undergraduate, graduate, and professional students.WSU-Mount Vernon REU: The Mt. Vernon Research Extension Unit is part of Washingon State Univ.
Names Project Foundation|943055367|Approved|204 14th Street NW|Atlanta|GA|30318|Mr. Jim Marks|Chief Financial Officer|(404) 688-5500|(404) 688-5552|www.aidsquilt.org|Human Services|To use the Aids Memorial Quilt to help bring an end to the AIDS epidemic.  To provide a means for remembrance and healing; to illustrate the enormity of the AIDS epidemic.  To increase public awareness of AIDS.  To assist with HIV prevention education.Names Project - Dallas Chapter: Provide a creative means for remembrance and healing. Illustrate the enormity of the AIDS epidemic. Increase public awareness of AIDS. Assist HIV prevention education. Raise funds for community based AIDS service organizations.
Sudden Infant Death Syndrome Alliance Inc|521591162|Approved|2105 Laurel Bush Road|Bel Air|MD|21015|Ms. Gina Dyson|Chief Financial Officer|(800) 221-7437|(410) 653-8709|http://www.sidsalliance.org/index/default.asp|Human Services|To promote infant health and survival during the prenatal period through two years of age through advocacy, education and research.
Planned Parenthood Federation of America|131644147|Approved|434 W. 33rd Street|New York|NY|10001|Ms. Marybell Ortiz|Contributions Processor|(212) 261-4796|(212) 247-6416|www.plannedparenthood.org|Human Services|Provides urgently-needed family planning and education services to theworld's poorest families-training, supplies and technical assistance for locally-managed international programs.Planned Parenthood Foundation: To provide comprehensive reproductive and complementary health care services in settings which preserve and protect the essential privacy and rights each individual.Planned Parenthood Federation of America Inc: To provide comprehensive reproductive and complementary health care services in settings which preserve and protect the essential privacy and rights of each individual.Planned Parenthood Federation of America, Inc.: To promote the fundamental right of each individual, throughout the world, to manage his or her fertility, regardless of the individual's income, marital status, race, ethnicity, sexual orientation, age, national origin, or residence.
Childreach|135661832|Approved|155 Plan Way|Warwick|RI|02886|Ms. Shirley King|Donor Finance Manager|(800) 556-7918|401-738-5608|www.planusa.org|Human Services|To help needy children and their families in developing countries by providing community-based programs.
Reed Institute|930386908|Approved|3203 SE Woodstock Blvd|Portland|OR|97202-8199|Ms. Sheri R. Sedgwick|Gift Accounting Manager|(503) 777-7583|(503) 777-7798|www.reed.edu|Education|To provide a balanced, comprehensive education in liberal arts and sciences, fulfilling the highest standards of intellectual excellence.Reed Institute: To provide a balanced, comprehensive education in liberal arts and sciences, fulfilling the highest standards of intellectual excellence.
New Beginnings|911005916|Approved|P. O. Box 75125|Seattle|WA|98175-0125|Ms. Brittny Nielsen|Development Associate|(206) 926-3034|(206) 706-0291|newbegin.org|Human Services|Provide shelter, advocacy and support for battered women and their children Change attitudes and social institutions which foster and perpetuate violence
Pilchuck Glass School|910963132|Approved|240 2nd Ave S #100|Seattle|WA|98104|Angie Battalio-Bunker|Development Coordinator|(206) 621-8422|(206) 621-0713|www.pilchuck.com/|Arts & Culture|A comprehensive educational center for artists working in glass, and an international model for visual arts education.
YMCA Of Greater Seattle|910482710|Approved|909 Fourth Avenue|Seattle|WA|98104|Ms. Sok In|Financial Development|(206) 344-3190|(206) 382-7283|www.seattleymca.org|Human Services|Building a community where all people, especially the young are encouraged to develop their fullest potential in spirit, mind, and bodyHighline YMCA: To put Christian principles into practice through programs that build healthy spirit, mind and body for all.The Young Mens Christian Association of Greater Seattle: To put Christian principles into practice through programs that build healthy spirit, mind and body for all.YMCA - Eastside District/The Young Mens Christian Association of Greater Seattle: To build a community where all people, especially the young, are encouraged to develop their fullest potential in spirit, mind and body.YMCA - Highline: To put Christian principles into practice through programs that build healthy spirit, mind and body for all.
Seattle Opera|910760426|Approved|1020 John Street|Seattle|WA|98109|Mr. Michael Moore|Financial Services Coordinator|(206) 676-5578|(206) 389-7651|www.seattleopera.org|Arts & Culture|Strives to produce musically extraordinary, theatrically compelling operas, employing uniformly high-quality casts, dramatically aware conductors, and innovative yet textually concerned directors and designers.
Flying House Productions|911183859|Approved|319 12th Ave|Seattle|WA|98122|Mr. Anil Vora|Development Associate|(206) 323-0750|(206) 323-9425|http://www.flyinghouse.org/|Arts & Culture|To provide high quality artistic events that reflect the pride, creativity and talent of Seattle's gay and lesbian community and to build bridges of understanding between the gay and lesbian community and people of differing lifestyles and backgrounds.Flying House Productions: Entertains, enlightens, unifies, and heals the audience and members, using the power of words and music to recognize the value of gay and straight people and their relationships.
Woodland Park Zoological Society|916070005|Approved|5500 Phinney Ave N|Seattle|WA|98103-5858|Kristina Sidor|Gift Stewardship Coordinator|(206) 548-2485|(206) 548-1536|www.zoo.org/|Arts & Culture|A conservation and education institution demonstrating the value, beauty and interdependence of all living things.
Seattle Center Foundation|911003385|Approved|305 Harrison Street|Seattle|WA|98109|Ms. Tracy Robinson|Executive Director|(206)615-1818|206-615-1724|http://www.seattlecenter.org|Civic|A primary goal of the Seattle Center Foundation is to fund and implement high-quality education and recreation programs for youth and adults on the Seattle Center campus, ensuring that cost is not a barrier to participation.
World Concern|916012289|Approved|19303 Fremont Avenue North|Seattle|WA|98133-9960|Ms. Laura Bayles|Workplace Giving Officer|(206) 546-7201|(206) 546-7269|www.worldconcern.org/|Human Services|World Concern partners to transform the lives of poor and marginalized people through disaster response and sustainable community development. Assistance is given regardless of creed or religious beliefs. This also includes Microsoft employees' project of sponsoring the village of Karona in Chad, Africa.
The Tau Beta Pi Association Inc|620479545|Approved|P. O. Box 2697|Knoxville|TN|37901-2697|Ms. Angie Winn|Administrative Assistant|(865) 546-4578|(865) 546-4579|http://www.tbp.org/pages/main.cfm|Education|Provide interpersonal skills for engineering students. This is accomplished through the presentation of sessions on campus by alumnus Tau Bates who are trained in the materials. Sessions are offered in: People Skills , Team Chartering  , Analytical Problem Solving , and Group Process.
Williams College|42104847|Approved|75 Park Street|Williamstown|MA|01267|Mr. Peter R. Landry|Manager of Gift Administration|(413) 597-4105|(413) 458-9808|http://www.williams.edu|Education|School Accredited.  Initial Data Load
The Seattle Public Library Foundation|911140642|Approved|1000 4th Ave|Seattle|WA|98104-1109|Miss Susan Connors|Data Base Administrator|(206) 386-4130|(206) 386-4132|http://www.spl.lib.wa.us/neighborhoodlibs/wallingford/index.html|Arts & Culture|The new Wallingford Library, the second project completed from the 1998 voter-approved "Libraries for All" building program, opened its doors on January 29, 2000. The Library, located in the Fremont Public Association Resource Center, 1501 N. 45th St., features 2,000-square-feet of program space, new furnishings and collections, upgraded technology equipment, access to a multipurpose room for author readings, children's programs and other library-sponsored activities and parking. The library opened with expanded service, operating 48 hours a week.Seattle Public Library Foundation: 501(c)3
Inspire Youth Project|911409104|Approved|417 23rd Avenue South|Seattle|WA|98144|Miss Kyondra Kennard|Program and Operations Assistant|(206) 628-8949|(206) 628-6207|inspireyouthproject.org/|Human Services|Dedicated to providing emotional support and advocacy to children and teens affected by HIV and AIDS who live with a parent or other close family member with HIV or AIDS, have been orphaned by the disease, or are infected themselves.Children's Garden of Hope: Rise n' Shine is a Pacific Northwest non-profit agency offering support around the most pressing issues and basic emotional needs of children and teens affected by AIDS. The volunteer-based programs provide mentor relationships, peer support groups, residential summer camp and life-enrichment experiences. Children who live with an infected family member, those who have been orphaned by the disease, and children who have HIV or AIDS are given a safe environment at Rise n' Shine for emotional support, bereavement, and personal development.Inspire Youth Project: To provide emotional support and advocacy to children and teens affected by HIV/AIDS or who have been orphaned by the disease.
Food for the Poor|592174510|Approved|6401 Lyons Road|Coconut Creek|FL|33073|Mr. Dennis North|Chief Financial Officer|(954) 426-2222|(425) 741-9638|http://www.foodforthepoor.org/|Human Services|Improve the health, economic, social and spiritual conditions of the men, women and children we serve. Food For The Poor raises funds and provides direct relief assistance to the poor, usually by purchasing specifically requested materials and distributing them through the churches and charity organizations already operating in areas of need.Food for the Poor: To raise funds and provide direct relief assistance to the poor, usually by purchasing specifically requested materials and distributing them through the churches and charity organizations already operating in areas of need. In this way, the organization serves the poor with dignity and ensures the most appropriate use of donors' funds.Food for the Poor Inc: To raise funds and provides direct relief assistance to the poor.  We provide food, housing, health care, education, water projects, micro-enterprise development assistance and emergency relief to the poorest of the poor.Food for the Poor Inc: To provide food, housing, health care, education, water projects, micro-enterprise development assistance and emergency relief to the poorest of the poor.Food for the Poor Inc: To improve the health, economic, social and spiritual conditions of the men, women and children we serve. Food For The Poor raises funds and provides direct relief assistance to the poor, usually by purchasing specifically requested materials and distributing them through the churches and charity organizations already operating in areas of need. In this way, the organization serves the poor with dignity and ensures the most appropriate use of donorsâ¬?funds.
Bellevue College Foundation|911051671|Approved|3000 Landerholm Circle SE, A101|Bellevue|WA|98007-6484|Miss BC Foundation|BC Foundation|425-564-2386|425-564-3173|www.bellevuecollege.edu/foundation|Education|Bellevue Community College is a student-centered, comprehensive and innovative college, committed to teaching excellence, that advances the life-long educational development of its students while strengthening the economic, social and cultural life of its diverse community. The college promotes student success by providing high-quality, flexible, accessible educational programs and services; advancing pluralism, inclusion and global awareness; and acting as a catalyst and collaborator for a vibrant region.
Senior Services of Seattle-King County|910823767|Approved|2208 2nd Avenue|Seattle|WA|98121|Miss Brittany Blue|Assistant Director|(206) 727-6205|(206) 448-5766|www.seniorservices.org|Human Services|To be an effective provider of quality services that support the independence of seniors.
Special Olympics Washington|910962383|Approved|1809 7th Avenue Suite 1509|Seattle|WA|98101|Rhonda Watt|Donor Relationship Manager|(206) 362-4949|(206) 361-8158|sowa.org|Human Services|Provide a year-round program of sports training and competition for children and adults with mental retardation, or a closely related developmental disability.Special Olympics Washington: To provide a year-round program of sports training and competition for children and adults with mental retardation, or a closely related developmental disability.Special Olympics: Provide a year-round program of sports training and competition for children and adults with mental retardation, or a closely related developmental disability.Special Olympics Washington: To provide year-round sports training and athletic competition in a variety of Olympic-type sports for children and adults with developmental disabilities.Special Olympics Washington: To provide year-round sports training and athletic competition in a variety of Olympic-type sports for children and adults with developmental disabilities, giving them the continuing opportunities to develop physical fitness, demonstrate courage, experience joy and participate in a sharing of gifts, skills and friendship with their families, other Special Olympics athletes, and the community.Special Olympics, Washington: To provide year-round sports training and athletic competition in a variety of Olympic-type sports for children and adults with intellectual disabilities, giving them continuing opportunities to develop physical fitness, demonstrate courage, experience joy and participate in a sharing of gifts, skills and friendship with their families, other Special Olympics athletes and the community.Special Olympics Washington: To improve self-confidence, social skills, and physical/motor skills for those with intellectual disabilities.
Nami Greater Seattle|911043712|Approved|802 N.W. 70th Street|Seattle|WA|98117|Mrs. Gail Wilder|Finance Manager|2067839264|2067840957|www.nami-greaterseattle.org|Human Services|To address the unmet needs of individuals with metal illness and their families through advocacy, public education, information and referral, and self support groups.NAMI Greater Seattle: We are dedicated to the eradication of mental illnesses and to the improvement of the quality of life for persons of all ages who are affected by mental illnesses.
Open Window School|911303536|Approved|6128 - 168th Place SE|Bellevue|WA|98006-3301|Mrs. Ann Berner Counsell|Director of Development|(425) 747-2911|(425) 562-4035|www.ows.org|Education Priv (K-12)|To nurture students of high intellectual ability and inspire them to new levels of creativity, learning, and personal accomplishment for participation in a changing world.
Cancer Lifeline|916182951|Approved|6522 Fremont Ave N|Seattle|WA|98103-5358|Deserie Sjouwke|Administrative & Direct Services Assistant|(206) 297-2100|(206) 297-2200|www.cancerlifeline.org|Human Services|To optimize the quality of life for all people living with cancer.
Huskey Tyee Club|943079432|Approved|University of Washington Foundation|Seattle|WA|98195|Ms. Rachel Townsend|Matching Gifts Coordinator|(206) 543-2234|206-685-8911|www.gohuskies.com/tyeeclub/|Education|To act as the primary fundraising arm of Husky Athletics and privately funds scholarships for over 650 student-athletes annually.
Wellspring Family Services|910567261|Approved|1900 Rainier Avenue South|Seattle|WA|98144|Kim Frodsham|Donor Database Coordinator|206-902-4238|855-438-8476|www.wellspringfs.org/|Human Services|Mission: "...Family Services strengthens the emotional health and well-being of individuals, families, and our community by providing support and counseling services..."
The 5th Avenue Theatre|911087612|Approved|1308 5th Avenue|Seattle|WA|98101|Chelsea Judd|Development Assistant|(206) 260-2185|(206) 292-9610|www.5thavenuetheatre.org|Arts & Culture|To preserve, maintain and operate The 5th Avenue Theatre as an institution for the performing arts and to nurture, promote and develop the American Musical.
Memorial Sloan-Kettering Cancer Center|131924236|Approved|1275 York Ave|New York|NY|10065|Stephanie  Rigione|Senior Annual Giving Officer|(800) 585-4118|(646) 227-3535|www.mskcc.org|Human Services|Cycle creates an opportunity for each of us to truly make a difference â¬?every dollar raised by Cycle goes directly to Memorial Sloan-Kettering for research on rare cancers, paving the way for new, more effective treatment options.Memorial Sloan-Kettering Cancer Center: As one of the world's premier cancer centers, Memorial Sloan-Kettering Cancer Center is committed to exceptional patient care, leading-edge research, and superb educational programs.
